id,name,rera_number,city,phone,email,website_url,logo_local_path,source_platform
3560f194-a375-4855-a060-0bd708e65bf8,Vital Space Developers,AG/GJ/AHMEDABAD/AHMEDABAD,Ahmedabad,+91 99984 70000,info@vitalspace.in,https://vitalspace.in,/Users/utkarshmakwana/Desktop/Scalezix Ventures/real2026/data2026/assets/logos/f23f1b7347df78f3.png,vitalspace
9f027614-9e09-4c4a-bc1c-35db1637260c,Addressbox Developer,,Ahmedabad,,,,,addressbox
3ac5b201-4809-431f-9f9c-f3091f004322,Aranyam,,Ahmedabad,,,,,addressbox
09f830db-a9ab-45b8-979d-a15d78670180,Adani Amaris,,Ahmedabad,,,,,addressbox
d13821ac-9ffd-450b-9f2c-c93684266226,The Storeys,,Ahmedabad,,,,,addressbox
2c8cce36-1dd6-4e75-835d-5e5ec4a9f5f7,RIVIERA MAJESTICA,,Ahmedabad,,,,,addressbox
31098b11-4db6-45f3-afdf-0eade435e9c6,NORTH PARK (Phase-5),,Ahmedabad,,,,,addressbox
7031260c-0ad8-4319-845d-5de412d3c7e2,SHILP RESIDENCY,,Ahmedabad,,,,,addressbox
b07d81a7-736a-47ff-9f6d-ba417e416bb2,"The Amber – Premium 2 BHK Apartments in Jagatpur, Ahmedabad",,Ahmedabad,,,,,addressbox
ceab593e-e783-4823-b1e7-2a5f6a138bc4,BINORI ARISTELLA,,Ahmedabad,,,,,addressbox
2fc0638e-9cd1-42b8-b855-bf7a2b0e0230,Sierra,,Ahmedabad,,,,,addressbox
7a8ac15f-fec4-4371-b751-bb202c4f433c,SHILP SERENE,,Ahmedabad,,,,,addressbox
fb5cc3f2-ea5a-410a-bd04-ce3485407358,THE WESTIN,,Ahmedabad,,,,,addressbox
296f881b-3f44-4218-8ffc-eb07a1f72c20,BLUE BELL,,Ahmedabad,,,,,addressbox
a90dfbf4-c1fc-4ca3-9a45-448d4f8d96f3,Indraprasth Ixora,,Ahmedabad,,,,,addressbox
dfb55745-1027-479a-8997-abb292777a6c,Obsidian Towers,,Ahmedabad,,,,,addressbox
08a3232e-f59e-4e4e-9f98-d5b5ceb2c664,Rajshree Regalia,,Ahmedabad,,,,,addressbox
5c9b8e83-8f83-49e1-909a-1ea5760962cb,Property For Sale By Budget in Ahmedabad Localities,,Ahmedabad,,,,,addressbox
bc731895-1ca0-4972-a41a-1949c3108324,TREMONT ADLEAP,,Ahmedabad,,,,,addressbox
d0139173-81a6-42ab-bb15-8e85c445a56d,AUGUSTA,,Ahmedabad,,,,,addressbox
c29653b0-40fc-4d0a-b50f-f5833350ef7c,Shivalik Greenfield,,Ahmedabad,,,,,addressbox
f9c2cd12-63c7-44fd-9edd-45078cf73c6b,SUPER SHALIGRAM,,Ahmedabad,,,,,addressbox
98b3c51f-52fa-4b11-b784-e9deb66a7262,The Planet,,Ahmedabad,,,,,addressbox
81985cb0-ef26-4c9e-85d8-7de1a7423686,Vishwanath Sarathya West,,Ahmedabad,,,,,addressbox
277424c6-b46c-4ab7-8923-bbb6b334b4bb,The Canvas,,Ahmedabad,,,,,addressbox
c6bcb6df-42e8-4299-833f-cbe0359f34d3,ROYAL URBANA,,Ahmedabad,,,,,addressbox
f993111b-bd79-4cfa-bf8b-178d98ba9ec8,SHALIGRAM LUXURIA,,Ahmedabad,,,,,addressbox
71d5adba-fe7e-4987-80cd-d6978eae6401,TREMONT TERRA,,Ahmedabad,,,,,addressbox
26c62d41-08d5-4617-ab9e-42011e62a71b,SHIVALIK EDGE,,Ahmedabad,,,,,addressbox
9d256473-772f-4dce-8027-eca92bcc322d,The Kimana Towers,,Ahmedabad,,,,,addressbox
e9bf6436-0fb2-45c1-b170-c73d7f77055b,The Crown,,Ahmedabad,,,,,addressbox
5d9a84c0-cfbf-415c-9432-47d1a4e014c8,AZZARO,,Ahmedabad,,,,,addressbox
193c68d0-a488-4f8a-a608-83ee42cd2076,ARISTO THE OPUS AND AATMANTAN,,Ahmedabad,,,,,addressbox
3b3d3b3a-cefb-4c5c-a969-4626bd2fce95,MALABAR RETREAT,,Ahmedabad,,,,,addressbox
d0583fde-358b-416c-ad6a-b3a468dc941d,Property For Sale in Ahmedabad Localities,,Ahmedabad,,,,,addressbox
b59c71a1-12fe-4c24-9b03-48d88abd0084,THE 31ST,,Ahmedabad,,,,,addressbox
06234413-a17b-4007-bbfd-f56702569419,NIWA,,Ahmedabad,,,,,addressbox
acda495b-494c-4f23-a819-6b3d340239a4,ETERNITY BY RATNAAKAR,,Ahmedabad,,,,,addressbox
e72ea4e7-390d-4e9b-abe0-fc1a4c19d435,Belrosa,,Ahmedabad,,,,,addressbox
